PolicyID,ProductID,PlanID,Sex,IssueDate,IssueAge,PolicyTerm,PolicyCount,SumAssured
1,TERM_2,PLAN_A,M,39,13/10/2012,20,69,861683.5069
2,TERM_1,PLAN_A,F,53,08/04/2019,10,44,568669.7775
3,TERM_2,PLAN_B,M,46,17/04/2016,15,87,832762.1352
4,TERM_1,PLAN_B,F,30,29/03/2021,20,38,718116.2083
5,TERM_1,PLAN_A,M,23,31/10/2016,15,20,987991.6808
6,TERM_2,PLAN_B,F,46,14/12/2021,10,21,585286.6197
7,TERM_2,PLAN_B,M,36,09/01/2016,15,6,819898.6324
8,TERM_2,PLAN_B,M,20,29/03/2016,15,33,621495.3141
9,TERM_2,PLAN_B,M,37,01/11/2017,15,91,835267.9299
10,TERM_1,PLAN_B,F,42,04/01/2019,15,34,343985.4995
11,TERM_2,PLAN_B,M,52,02/04/2010,20,8,253994.0102
12,TERM_1,PLAN_A,M,58,12/03/2011,15,19,620213.6716
13,TERM_2,PLAN_A,F,44,01/08/2019,10,44,73891.96757
14,TERM_2,PLAN_A,F,39,17/08/2017,20,62,74549.25248
15,TERM_1,PLAN_B,M,51,16/07/2017,15,96,594403.1592
16,TERM_1,PLAN_A,M,22,19/02/2011,15,78,837273.8685
17,TERM_1,PLAN_B,F,24,04/08/2010,20,62,987471.7176
18,TERM_2,PLAN_A,M,35,22/12/2015,20,97,293680.9322
19,TERM_2,PLAN_A,M,23,23/03/2021,10,91,61609.67178
20,TERM_2,PLAN_B,F,57,27/07/2022,20,42,349789.3289
21,TERM_2,PLAN_A,F,56,02/09/2018,10,68,649410.2767
22,TERM_1,PLAN_B,F,53,12/07/2021,10,9,685232.4456
23,TERM_2,PLAN_A,F,50,02/03/2013,20,38,357522.8086
24,TERM_2,PLAN_B,M,53,29/07/2020,15,83,815848.8021
25,TERM_2,PLAN_A,M,28,18/09/2012,20,42,886641.7225
26,TERM_2,PLAN_A,F,49,24/01/2022,20,7,290236.2749
27,TERM_1,PLAN_A,F,45,09/01/2013,10,92,197698.9235
28,TERM_1,PLAN_A,M,48,22/04/2017,20,54,34519.67724
29,TERM_1,PLAN_A,M,40,30/11/2021,20,29,703650.6294
